English_Word,Examples
alpr,"- The ALPR system identified the suspect's vehicle.
- - ALPR technology is used to track vehicles entering the city."
alternative fuel,"- The government is investing in alternative fuel research.
- - Alternative fuel vehicles are becoming more popular.
- - Biodiesel is a type of alternative fuel.
- - The company is committed to using alternative fuels in its fleet.
- - Switching to alternative fuels can reduce carbon emissions.
- - Many countries are setting targets for the adoption of alternative fuels."
amendment,"- The amendment to the constitution was approved by the voters.
- - He proposed an amendment to the bill.
- - The company made an amendment to its privacy policy.
- - This document is an amendment to the original contract.
- - The software update includes several amendments to improve performance.
- - These amendments will lead to better living conditions."
among others,"- The team needs better players, among others.
- - The report highlighted several issues, among others, poor management and lack of funding.
- - She is one of the smartest students among others in the class.
- - Among others, he thanked his parents for their support."
amusement park,"- We went to the amusement park last weekend.
- - The amusement park has many thrilling rides."
an acquired taste,"- Sushi is an acquired taste; many people don't like it the first time they try it.
- - Black coffee is an acquired taste, but once you get used to it, you might prefer it over coffee with milk and sugar.
- - Modern art can be an acquired taste, as it often requires a deeper understanding to appreciate.
- - His sense of humor is an acquired taste; you might not find him funny at first."
anachronism,"- A horse and carriage would be an anachronism in modern city traffic.
- - The movie was full of anachronisms; for example, the characters used cell phones in the 18th century.
- - His painting contained an anachronism; he depicted a clock, which hadn't been invented yet in that period.
- - The use of computers in a historical drama about ancient Rome is a glaring anachronism."
animated,"- The animated film was a huge success.
- - She has an animated personality.
- - The museum displayed animated dinosaurs.
- - The historical events were animated in the documentary.
- - He became very animated when discussing his hobbies.
- - The party had an animated atmosphere."
announcer,"- The announcer introduced the next performer.
- - The stadium announcer told everyone to remain in their seats.
- - The announcer at the train station gave details of the delay.
- - Please listen carefully to the announcer for important information."
appalled,"- I was appalled by the condition of the house.
- - She was appalled at the violence in the film.
- - He was appalled to hear of his friend's accident.
- - We were appalled by their lack of respect."
appealing,"- The idea of living in the countryside is very appealing.
- - This design is visually appealing.
- - They made him an appealing offer.
- - The job seemed appealing at first, but it had many drawbacks.
- - She has a very appealing personality.
- - The restaurant has an appealing atmosphere."
appendix,"- The appendix to the book contains additional information.
- - Please refer to Appendix A for more details.
- - He had to have his appendix removed.
- - Appendicitis is the inflammation of the appendix."
apple pie,"- I love apple pie with vanilla ice cream.
- - She baked an apple pie for the Thanksgiving dinner.
- - This project will be apple pie for me.
- - The test was apple pie; I finished it in half the time."
aristocrat,"- The aristocrats lived in luxury.
- - He was born into an aristocratic family.
- - She had an aristocratic bearing.
- - The house had an aristocratic appearance."
ash wednesday,"- Ash Wednesday marks the beginning of Lent.
- - Many Christians attend church on Ash Wednesday to receive ashes on their foreheads."
assortment,"- The store offers a wide assortment of cheeses.
- - We have an assortment of books to choose from.
- - This CD features an assortment of his greatest hits.
- - The museum has a diverse assortment of artifacts.
- - She has an assortment of dolls from around the world.
- - The gardener planted an assortment of flowers in the garden."
at the back of,"- The garden is at the back of the house.
- - There is a small shed at the back of the yard.
- - At the back of my mind, I knew it was the right thing to do.
- - He found the missing document at the back of the drawer.
- - The teacher is at the back of his students, supporting them.
- - The company is at the back of the new initiative."
attendant,"- The flight attendant offered me a drink.
- - There were several attendants at the conference helping with registration.
- - All attendants were asked to sign in.
- - The number of attendants at the meeting was surprisingly low.
- - Illness may attend a bad diet.
- - His career was attended with controversy."
audacity,"- She had the audacity to question my decision.
- - He displayed great audacity in confronting the dictator.
- - I can't believe he had the audacity to ask for more money.
- - Her audacity knows no bounds; she is always pushing the limits."
auditioning,"- She is auditioning for a part in the school play.
- - Many hopeful actors are auditioning today.
- - The band is auditioning new drummers this week.
- - We are auditioning several software packages before making a decision."
available,"- Is this seat available?
- - Tickets are available online.
- - The data is available to all users.
- - He's always available to help.
- - Fresh produce is available at the market.
- - Scholarships are available for eligible students."
bachelorette,"- She is planning a bachelorette party for her best friend.
- - The bachelorette party will be held in Las Vegas.
- - She is a bachelorette living in a big city.
- - The bachelorette decided to focus on her career."
backwash,"- The backwash from the boat nearly knocked me over.
- - The waves created a strong backwash on the beach.
- - Backwash from the filter can contain sediment.
- - We need to clean out the backwash regularly.
- - You need to backwash the pool filter regularly.
- - We backwash the system every week."
bacteria,"- Bacteria are single-celled microorganisms.
- - Some bacteria are harmful, while others are beneficial."
balcony,"- We had breakfast on the balcony.
- - Our hotel room has a balcony overlooking the sea."
ban,"- The government banned the import of certain goods.
- - Smoking is banned in this area.
- - There is a ban on all public gatherings.
- - The trade ban affected many businesses.
- - He was banned from driving for a year.
- - She was banned from the competition."
banana skin,"- He slipped on a banana skin.
- - The banana skin was lying on the pavement."
bargain,"- This coat was a real bargain.
- - I got it at a bargain price.
- - He bargained with the seller for a lower price.
- - You can often bargain prices down in the market.
- - The summer sales are a bargain hunter's paradise.
- - I love finding a bargain in the thrift store."
"baroness, baronet","- The baroness inherited a vast estate from her late husband.
- - She is known as the Baroness of Avonlea.
- - The baronet was knighted for his services to the country.
- - He became a baronet upon his father's death."
barrette,"- She wore a barrette to keep her hair out of her face.
- - The little girl had a colorful barrette in her hair."
basement,"- The laundry room is in the basement.
- - They converted their basement into a home theater.
- - The office is located in the basement of the building.
- - The store has a basement level for storage."
be attributed to sb,"- The quote is often attributed to Winston Churchill.
- - Her success can be attributed to her hard work and dedication.
- - The fire was attributed to faulty wiring.
- - The increase in sales can be attributed to the new marketing campaign."
be expecting (a baby/child),"- She is expecting a baby in July.
- - They are expecting their first child.
- - We are expecting a phone call from him later today.
- - The company is expecting higher profits this year."
be found to do sth,"- He was found to be in possession of stolen goods.
- - The company was found to have violated environmental regulations.
- - The child was found to be playing in the street.
- - The cat was found to be sleeping on the sofa.
- - She was found to have a talent for music.
- - He was found to be a reliable employee."
be in the air,"- The details of the deal are still in the air.
- - Our travel plans are in the air because of the storm.
- - Rumors were in the air about the company's bankruptcy.
- - A feeling of excitement was in the air as the festival began.
- - The new program will be in the air next week.
- - The concert was in the air for two hours."
be in the same boat,"- When the company started losing money, we were all in the same boat.
- - If the project fails, we're all in the same boat.
- - During the recession, small businesses and large corporations were in the same boat, struggling to survive.
- - We're all in the same boat when it comes to dealing with rising energy costs."
be worlds apart,"- They come from completely different backgrounds; they are worlds apart.
- - In terms of musical taste, we are worlds apart.
- - Politically, the two parties are worlds apart.
- - Their opinions on the matter were worlds apart."
beatification,"- The beatification of the garden improved the property value.
- - The beatification project aimed to make the city more appealing to tourists.
- - The process of beatification can take many years.
- - She is being considered for beatification by the church."
beep,"- I heard a beep from the microwave.
- - The machine makes a beep when it is ready.
- - The car beeps when you leave the lights on.
- - Please beep the horn.
- - Doctors used to carry beeps to be alerted for emergencies.
- - He keeps his beep on him all the time in case of emergencies."
beet,"- She added some beet to the salad.
- - Beet juice is known for its health benefits.
- - The loud noise completely beet him.
- - He was beet by the magician's trick."
believe in,"- I believe in God.
- - Do you believe in ghosts?
- - I believe in his ability to do the job.
- - She believes in her friends.
- - We believe in free speech.
- - They believe in equal rights for all."
beltway,"- The traffic on the beltway is always heavy during rush hour.
- - Many businesses choose to locate near the beltway for easy access.
- - Decisions made inside the beltway often have a significant impact on the country.
- - He's been working inside the beltway for many years."
belvedere,"- The belvedere offered stunning views of the lake.
- - They built a belvedere on the hill to enjoy the scenery.
- - This park is a belvedere for nature lovers.
- - The hotel room was a belvedere with panoramic ocean views."
bestial,"- His bestial behavior shocked everyone.
- - The bestial sounds coming from the forest were terrifying.
- - The prison conditions were bestial and degrading.
- - He showed a bestial disregard for the suffering of others."
big bang,"- The big bang theory explains the origin of the universe.
- - Scientists are still researching the conditions immediately after the big bang.
- - The product launch was a big bang for the company.
- - The discovery of penicillin was a big bang in medicine."
birthmark,"- She has a small birthmark on her arm.
- - The birthmark was shaped like a star."
biscotti,"- I bought a bag of biscotti from the bakery.
- - She likes to dip biscotti in her coffee.
- - Biscotti are traditionally served with Vin Santo.
- - These biscotti are perfect for an afternoon snack."
bloody,"- He had a bloody nose after the fight.
- - The scene of the accident was bloody and horrific.
- - That was a bloody stupid thing to do!
- - I've had a bloody awful day.
- - It's bloody cold outside.
- - The film was bloody good."
blu-ray,"- I bought a new blu-ray player.
- - The movie is available on blu-ray.
- - Do you have the blu-ray of that movie?
- - Blu-ray discs offer high-definition video quality."
bluish,"- The sky was a bluish color after the rain.
- - She wore a bluish dress to the party."
boathouse,"- The boathouse was filled with canoes and kayaks.
- - They store their boat in the boathouse during the winter."
bog,"- The car got stuck in the bog.
- - The bog was full of peat.
- - Don't let yourself get bogged down in details.
- - The project bogged down due to lack of funding."
boggle,"- My mind boggles at the amount of money they spend.
- - The complexity of the problem boggles the imagination.
- - We played a game of Boggle last night.
- - Boggle is a fun word game for the whole family."
bogus,"- He gave a bogus address to the police.
- - The documents were completely bogus.
- - The company was accused of making bogus claims.
- - That's a bogus excuse.
- - The evidence was all bogus.
- - The story turned out to be complete bogus."
boil over,"- The milk boiled over and made a mess on the stove.
- - I was boiling some eggs, and the water boiled over.
- - He boiled over with anger when he heard the news.
- - The crowd boiled over after the controversial decision."
boiled sweet,"- He offered her a boiled sweet.
- - Boiled sweets are often fruit-flavored."
boiler room,"- The boiler room is located in the basement of the building.
- - Maintenance staff regularly check the equipment in the boiler room.
- - Decisions were made in the boiler room before being presented to the board.
- - The campaign strategy was hatched in a political boiler room.
- - The sales team operated in a high-pressure boiler room environment.
- - He left the company because he couldn't handle the boiler room tactics."
bomb,"- The bomb exploded with a loud noise.
- - The police found a bomb in the suitcase.
- - The enemy planes bombed the city.
- - They threatened to bomb the building.
- - The party was a bomb!
- - Her performance is a bomb."
break out of,"- The prisoners broke out of jail.
- - They broke out of the burning building.
- - World War II broke out in 1939.
- - A fire broke out in the kitchen.
- - He broke out in a sweat.
- - I broke out in a rash after using the new soap."
brightest,"- The brightest star in the sky is Sirius.
- - She has the brightest smile I've ever seen.
- - He is the brightest student in the class.
- - She has a bright future ahead of her.
- - The painting used the brightest colors.
- - The brightest flowers bloom in the spring."
bring something to bear (on somebody/something),"- We need to bring all our influence to bear on the decision.
- - They brought considerable pressure to bear on him to resign.
- - The company brought its legal expertise to bear on the case.
- - She brought her charm to bear on the negotiations."
broadsheet,"- The Times is a broadsheet newspaper.
- - Broadsheet newspapers typically contain more in-depth news coverage.
- - They distributed broadsheets advertising the event.
- - The broadsheet announced the latest company policies."
buckle,"- The buckle on my belt is broken.
- - She fastened the buckle of her sandal.
- - Please buckle your seatbelt before driving.
- - He buckled the straps of his backpack.
- - The metal buckled under the pressure.
- - The shelf buckled from the weight of the books."
busy with,"- I am busy with work.
- - She is busy with her studies.
- - He is busy with fixing the car.
- - They are busy with organizing the event.
- - The doctor is busy with a patient.
- - The manager is busy with the new project."
buy,"- I want to buy a new car.
- - She bought some flowers for her mother.
- - His actions bought him respect.
- - The team bought themselves some time with that goal.
- - I don't buy that story.
- - Do you buy his excuse?"
by the time that,"- By the time I finish this book, I will have learned a lot.
- - By the time she arrived, the party had already started.
- - By the time you get here, I'll be gone.
- - By the time he apologized, it was too late."
byline,"- The byline indicated that the article was written by a well-known journalist.
- - Her byline was prominently displayed beneath the headline.
- - Check the byline to see who wrote the article.
- - The byline clearly stated the author's name and affiliation."
cabinet pudding,"- Cabinet pudding is a traditional British dessert.
- - She made a delicious cabinet pudding for dessert."
cable television,"- Do you have cable television at home?
- - Cable television offers a wide variety of channels.
- - We decided to switch to cable television for better picture quality.
- - Many people prefer streaming services over cable television these days."
calculate,"- Can you calculate the total cost?
- - The software can calculate complex equations.
- - We need to calculate the risks involved.
- - The system calculates the probability of a failure.
- - They are calculating how to increase profits.
- - We have to calculate our next move carefully."
can i speak to,"- Can I speak to John, please?
- - Can I speak to the manager about this issue?
- - Can I speak to Mr. Smith regarding the contract?
- - Can I speak to someone in customer service?"
captive,"- The captive animals were kept in small cages.
- - He was held captive for three years.
- - The bird remained captive in its cage.
- - They were captive to their own fears.
- - The company has a captive audience.
- - The advertising industry has a captive market."
carbon dioxide,"- Carbon dioxide is a greenhouse gas.
- - Plants absorb carbon dioxide from the atmosphere."
cardigan,"- She wore a cardigan to keep warm.
- - He always wears a cardigan in the office."
care assistant,"- She works as a care assistant in a nursing home.
- - The care assistant helps elderly people with their daily tasks."
carrying,"- She is carrying a heavy bag.
- - The truck is carrying goods to the market.
- - He is carrying the responsibility for the project.
- - She is carrying a lot of stress.
- - The disease is carried by mosquitoes.
- - This wire is carrying electricity."
cassette,"- I found an old cassette in the attic.
- - She recorded her favorite songs on a cassette.
- - My old car has a cassette player.
- - He still uses a cassette to listen to music."
cast-iron,"- She cooked the steak in a cast-iron skillet.
- - Cast-iron pans are known for their durability.
- - The bridge was constructed using cast-iron.
- - Cast-iron is a common material for cookware."
castanets,"- She played the castanets with great flair.
- - The rhythm of the castanets filled the room."
cation,"- A cation is a positively charged ion.
- - Sodium ions (Na+) are cations."
cattle grid,"- The cattle grid prevented the cows from escaping the field.
- - We drove over the cattle grid as we entered the farm.
- - The road sign warned drivers about the approaching cattle grid.
- - Motorcyclists should be careful when crossing a cattle grid."
chapel,"- The small chapel was filled with worshippers.
- - They decided to get married in a quaint chapel.
- - The airport has a chapel for travelers who wish to pray.
- - Many hospitals include a chapel or similar space for spiritual reflection."
character,"- She has a strong character.
- - He is a man of good character.
- - Which character is your favorite in the movie?
- - The main character of the novel is a young woman.
- - The character 'A' is the first letter of the alphabet.
- - Some languages use special characters."
charging point,"- The electric car needs a charging point.
- - You can find a charging point at the gas station.
- - Many new buildings are being equipped with charging points.
- - The charging point was out of order."
chartered,"- We took a chartered boat to the island.
- - The company uses chartered planes for its executives.
- - They chartered a bus for the school trip.
- - The organization chartered a plane to deliver aid.
- - The university is a chartered institution.
- - Chartered accountants must adhere to strict regulations."
cheese,"- I love to eat cheese with bread.
- - This cheese has a very strong smell.
- - He is a big cheese in the company.
- - The cheese at the bank approved the loan."
chemo,"- She is undergoing chemo for breast cancer.
- - The side effects of chemo can be severe."
chessman,"- The chessman was made of ivory.
- - He carefully moved the chessman across the board."
chicano,"- He identifies as Chicano and is proud of his heritage.
- - The Chicano movement fought for civil rights and social justice.
- - The Chicano art scene is vibrant and expressive.
- - She is studying Chicano literature at the university."
choose,"- I have to choose between the red shirt and the blue shirt.
- - She had to choose a career path after graduation.
- - I choose to stay home tonight instead of going out.
- - He chose to ignore the rude comment.
- - They chose to invest in renewable energy.
- - We chose to believe his story."
church of england,"- The Church of England is the established Christian church in England.
- - He was a member of the Church of England.
- - The Church of England has its roots in the Reformation.
- - Many historical figures were members of the Church of England."
city editor,"- The city editor assigned me to cover the mayor's press conference.
- - She is the city editor for the local newspaper."
clearing,"- We stopped for lunch in a clearing.
- - The deer ran into the clearing.
- - The clearing of the forest took several weeks.
- - We are working on the clearing of the site for the new building.
- - The bank handles the clearing of checks.
- - We need to ensure the prompt clearing of all invoices."
collaborate,"- We collaborated on the project.
- - The two companies decided to collaborate.
- - The scientists collaborated to find a cure.
- - They collaborated closely on the design.
- - The musicians collaborated on the song.
- - The authors collaborated to write a book."
collaborator,"- She was a valued collaborator on the project.
- - He is a frequent collaborator with the director.
- - The dictator arrested his political collaborators.
- - They were seen as collaborators with the enemy."
colonel blimp,"- The character was a Colonel Blimp, always complaining about the youth of today.
- - He reminded me of Colonel Blimp with his outdated views.
- - Don't be such a Colonel Blimp; times have changed.
- - His attitude is very Colonel Blimp."
comb,"- She used a comb to style her hair.
- - The comb was lying on the bathroom counter.
- - I need to comb my hair before the meeting.
- - She combed the dog to remove loose fur."
come on!,"- Come on, we're going to be late!
- - Come on, let's go to the park.
- - Come on, you can do it!
- - Come on, tell me what happened.
- - Come on, that's not true!
- - Come on, you can't be serious."
competitive,"- The company is very competitive in the market.
- - He is a highly competitive athlete.
- - She has a competitive spirit and always wants to win.
- - They are competitive for the same job.
- - This is a competitive environment for startups.
- - The price of the product is competitive."
compress,"- You can compress files to save disk space.
- - The crowd compressed against the barriers.
- - The author tried to compress the main ideas into one chapter.
- - News reports are often compressed for brevity.
- - The machine compresses metal into sheets.
- - They compress cotton into bales."
conformist,"- He is a conformist person who always follows the crowd.
- - The conformist students didn't question the new rules.
- - She was considered a conformist because she always agreed with her boss.
- - The group was full of conformists who didn't dare to be different."
consequent,"- The consequent of his actions was imprisonment.
- - He did not consider the consequents of his decision.
- - The consequent events followed rapidly.
- - She dealt with the problem and the consequent issues."
consist,"- The committee consists of five members.
- - The dish consists of rice and vegetables.
- - My responsibilities consist of managing the budget and overseeing the team.
- - A healthy diet should consist of a variety of fruits, vegetables, and whole grains."
constitutive,"- Laws are constitutive of society.
- - The constitutive elements of water are hydrogen and oxygen.
- - Freedom of speech is a constitutive right.
- - Trust is constitutive of a healthy relationship.
- - The constitutive properties of the material were analyzed.
- - Constitutive equations describe the material's behavior under stress."
contender,"- He is a contender for the championship.
- - Several contenders have emerged in the political race.
- - The contenders lined up at the starting line.
- - She is a strong contender in the upcoming tournament.
- - The company is a major contender for the contract.
- - He is a serious contender for her hand in marriage."
content,"- The content of the book was fascinating.
- - This website has a lot of useful content.
- - This is a content-rich website.
- - The content provider updated the application."
converter,"- This converter changes AC voltage to DC voltage.
- - A catalytic converter reduces harmful emissions.
- - She works as a currency converter.
- - This online tool is a unit converter."
coppery,"- She had coppery red hair.
- - The sunset cast a coppery glow on the landscape.
- - The leaves turned a coppery color in the autumn.
- - He admired the coppery sheen of the antique pot."
copycat,"- He is a copycat.
- - The new student is a copycat; he does everything like John.
- - That's a copycat crime.
- - The company produced a copycat product."
corbel,"- The architect added a corbel to support the arch.
- - The shelf was supported by decorative corbels.
- - The roof was corbelled out over the wall.
- - They corbelled the upper story to create more space."
cosplayer,"- She is a dedicated cosplayer who spends months creating her elaborate costumes.
- - The convention was full of cosplayers dressed as their favorite anime characters."
countable,"- Countable nouns can be made plural.
- - Is sugar countable?
- - The benefits are countable.
- - We need countable data."
cramped,"- This room is cramped.
- - We felt cramped in the small car.
- - I live in a cramped apartment.
- - The office space was cramped and uncomfortable.
- - The schedule is too cramped to fit everything in.
- - His social life is cramped due to his demanding job."
crawl,"- The baby started to crawl across the floor.
- - He crawled through the tunnel.
- - Snails crawl along the ground.
- - The traffic was crawling along at a snail's pace.
- - Search engines crawl the web for new pages.
- - The crawler indexes the content of websites."
cross one's fingers,"- I'm crossing my fingers that I get the job.
- - Cross your fingers for me, I have an exam tomorrow.
- - We're crossing our fingers for you and your presentation.
- - She's crossing her fingers that the flight won't be delayed."
crèche,"- The company provides a crèche for its employees' children.
- - She left her baby at the crèche."
cure,"- The doctor tried to cure the patient of his illness.
- - Scientists are working to cure cancer.
- - There is no known cure for the common cold.
- - The new drug offers a potential cure for the disease.
- - Time can cure many wounds.
- - He was cured of his bad habits."
dance,"- She loves to dance.
- - They danced all night long.
- - The dance was beautiful.
- - He asked her for a dance."
decision,"- The decision was made to close the factory.
- - It's a difficult decision to make.
- - He has to make a decision about his future.
- - The final decision rests with the manager.
- - The judge reached a decision in the case.
- - We are awaiting the court's decision."
decking,"- We installed decking in our backyard to create a nice outdoor space.
- - The decking needs to be stained every year to protect it from the weather.
- - The ship's decking was made of teak.
- - Saltwater can damage the decking over time."
deep,"- The lake is very deep.
- - She took a deep breath.
- - They are in deep thought.
- - There is deep snow on the mountains.
- - He has a deep voice.
- - The wound was very deep."
defeated,"- Our team defeated the opponent.
- - The army defeated the enemy in a major battle.
- - His arguments were easily defeated.
- - The proposal was defeated in the Senate.
- - The defeated army retreated.
- - He looked defeated after the loss."
deform,"- The accident deformed the car's front end.
- - High heat can deform plastic.
- - His face was deformed by the disease.
- - The sculpture was intentionally deformed to create a unique effect.
- - The media can deform public opinion.
- - Lying can deform a person's character."
defrost,"- I need to defrost the chicken before I can cook it.
- - The car windshield needs to defrost before we can drive.
- - Defrost the meat in the refrigerator overnight.
- - Make sure to defrost your freezer regularly.
- - The defrost cycle takes about 30 minutes.
- - Use the defrost setting on the microwave."
deliquency,"- His delinquency led to the company's failure.
- - The employee's delinquency resulted in a warning.
- - Juvenile delinquency is a serious problem in many cities.
- - The program aims to reduce delinquency among teenagers.
- - The bank charges a fee for loan delinquency.
- - Delinquency rates on mortgages are rising."
deltoids,"- He works out to build his deltoids.
- - The deltoids are important for shoulder movement."
demure,"- She gave him a demure smile.
- - Her dress was demure and simple.
- - The actress presented a demure image.
- - She was known for her demure behaviour.
- - She cast a demure glance at him.
- - Her demure mannerisms made her seem innocent."
denotation,"- The denotation of 'blue' is the color blue.
- - We must consider both the denotation and connotation of a word.
- - The denotation of his anger was clear in his clenched fists.
- - Her silence was a denotation of her disapproval."
denounce,"- The government denounced the terrorist attack.
- - Many countries denounced the invasion.
- - He denounced his colleague to the authorities.
- - She denounced him as a spy.
- - He denounced his citizenship.
- - The rebel group denounced the peace treaty."
denunciation,"- The denunciation led to the arrest of the suspects.
- - He faced public denunciation for his actions.
- - The politician's denunciation of the policy was widely reported.
- - The international community issued a strong denunciation of the violence."
destiny,"- It was my destiny to meet you.
- - They believe that destiny controls everything.
- - She accepted her destiny without complaint.
- - The destiny of the nation rested on his shoulders.
- - Some people believe in the power of destiny.
- - He felt he was fulfilling his destiny."
destroy,"- The fire destroyed the entire forest.
- - The hurricane destroyed many homes along the coast.
- - His career was destroyed by the scandal.
- - The heavy rain destroyed our plans for the picnic.
- - The virus can destroy cells in the body.
- - He was destroyed by his enemies."
devout,"- She is a devout Christian and goes to church every Sunday.
- - He is a devout follower of the teachings of Buddha.
- - He was a devout public servant, dedicated to improving the lives of others.
- - She is a devout supporter of animal rights."
dignified,"- She maintained a dignified silence.
- - He was a dignified and respected leader.
- - The queen's entrance was dignified and regal.
- - Despite the challenges, he remained dignified."
direct debit,"- I pay my electricity bill by direct debit.
- - Setting up a direct debit is the easiest way to pay.
- - You can direct debit your monthly payments.
- - We will direct debit the amount from your account on the 1st of each month."
discharged,"- The patient was discharged from the hospital yesterday.
- - She was discharged after a week of treatment.
- - He was discharged from his job due to poor performance.
- - The company discharged several employees to cut costs.
- - The suspect was discharged because of lack of evidence.
- - The jury discharged him of all charges."
disclosure,"- The company made a full disclosure of its financial situation.
- - The disclosure of the secret was a shock to everyone.
- - The disclosures in the report were very damaging.
- - We need to review all disclosures before the meeting.
- - You must disclose any potential conflicts of interest.
- - He refused to disclose his sources."
disease,"- Cancer is a terrible disease.
- - He is suffering from a rare disease.
- - Poverty is a disease that affects society.
- - Corruption is a disease in the government."
dismount,"- He dismounted his bicycle.
- - The rider dismounted the horse.
- - Dismount the engine from the chassis.
- - The mechanic dismounted the tire from the car."
disregard,"- He disregarded my advice.
- - The company disregarded safety regulations.
- - We can't disregard the possibility of failure.
- - The police disregarded the witness's statement.
- - She told him to stop, but he disregarded her.
- - They disregarded all warnings about the dangers."
district nurse,"- The district nurse visits patients in their homes.
- - She works as a district nurse, providing care to the elderly and disabled."
"do, mean,   something for the best","- I know you're upset about losing your job, but everything happens for a reason, it all may do something for the best.
- - Although it was a difficult time, in retrospect, it did something for the best.
- - I was sad when my plant died but when I threw it away, I found 20 dollars so it did something for the best.
- - I know it seems bad now, but trust me, it will do something for the best in the end."
dodgeball,"- Dodgeball is a popular game in physical education classes.
- - The children were playing dodgeball in the park.
- - We used to dodgeball every Friday after school.
- - The team will dodgeball against their rivals tomorrow."
double jeopardy,"- The principle of double jeopardy prevents someone from being tried twice for the same crime.
- - He invoked double jeopardy after the first trial ended in a hung jury.
- - Losing his job and his house at the same time put him in double jeopardy.
- - The company faced double jeopardy, dealing with both declining sales and rising costs."
downward,"- The bird flew downward.
- - The path slopes downward to the river.
- - The downward trend is worrying.
- - He made a downward motion with his hand.
- - The company experienced a downward spiral in sales.
- - They are forecasting a downward revision of growth estimates."
dr martens,"- I love my Dr. Martens boots because they are very comfortable.
- - She always wears her Dr. Martens to concerts.
- - Dr. Martens is a popular brand known for its durable footwear.
- - He prefers Dr. Martens over other brands because of their quality."
dramatis personae,"- The dramatis personae are listed at the beginning of the play.
- - A program was handed out, detailing the dramatis personae.
- - Before the show, I reviewed the dramatis personae to understand the relationships.
- - The novel includes a detailed dramatis personae to help readers keep track."
dressing table,"- She sat at her dressing table, applying her makeup.
- - The antique dressing table was the centerpiece of the bedroom."
